symbol,socialScore,governanceScore,environmentScore,totalEsg,esgPerformance,percentile,peerGroup,highestControversy
URI,5.81,4.55,5.38,15.74,LAG_PERF,,Traders & Distributors,2.0
USB,12.13,11.03,1.06,24.21,AVG_PERF,,Banks,2.0
V,8.27,5.18,1.93,15.39,LAG_PERF,,Software & Services,3.0
VICI,5.35,4.27,4.3,13.92,LAG_PERF,,Real Estate,1.0
VLO,7.23,4.1,19.21,30.54,LEAD_PERF,,Refiners & Pipelines,2.0
VLTO,14.08,3.68,6.17,23.93,AVG_PERF,,Machinery,0.0
VMC,6.97,8.13,13.34,28.44,AVG_PERF,,Construction Materials,2.0
VRSK,12.49,3.66,0.13,16.29,LAG_PERF,,Commercial Services,1.0
VRSN,10.63,5.29,4.85,20.77,AVG_PERF,,Software & Services,0.0
VRTX,13.66,4.97,0.94,19.56,LAG_PERF,,Pharmaceuticals,2.0
VST,7.17,3.19,18.97,29.33,AVG_PERF,,Utilities,2.0
VTR,4.22,3.95,3.0,11.16,LAG_PERF,,Real Estate,1.0
VTRS,13.25,9.08,3.1,25.43,AVG_PERF,,Pharmaceuticals,4.0
VZ,10.13,5.07,4.13,19.32,LAG_PERF,,Telecommunication Services,3.0
WAB,11.99,4.74,5.97,22.7,AVG_PERF,,Machinery,2.0
WAT,8.11,3.22,1.45,12.77,LAG_PERF,,Pharmaceuticals,0.0
WBA,8.48,5.16,1.92,15.57,LAG_PERF,,Food Retailers,2.0
WBD,9.16,6.7,2.27,18.12,LAG_PERF,,Media,2.0
WDC,3.95,4.17,1.56,9.69,LAG_PERF,,Technology Hardware,2.0
WEC,7.55,3.19,12.35,23.09,AVG_PERF,,Utilities,2.0
WELL,2.95,4.33,4.24,11.51,LAG_PERF,,Real Estate,0.0
WFC,14.68,18.2,1.5,34.38,LEAD_PERF,,Banks,5.0
WM,6.86,2.45,9.3,18.61,LAG_PERF,,Commercial Services,2.0
WMB,9.34,2.22,8.05,19.61,LAG_PERF,,Refiners & Pipelines,2.0
WMT,9.85,5.83,5.29,20.97,AVG_PERF,,Food Retailers,3.0
WRB,9.35,11.26,0.65,21.26,AVG_PERF,,Insurance,1.0
WST,9.4,5.63,2.94,17.97,LAG_PERF,,Healthcare,0.0
WTW,7.82,8.35,0.17,16.34,LAG_PERF,,Insurance,1.0
WY,4.01,2.12,9.18,15.31,LAG_PERF,,Paper & Forestry,2.0
WYNN,12.02,9.03,3.93,24.98,AVG_PERF,,Consumer Services,2.0
XEL,9.48,3.92,13.17,26.57,AVG_PERF,,Utilities,2.0
XOM,11.58,6.99,25.09,43.66,LEAD_PERF,,Oil & Gas Producers,3.0
XYL,8.01,4.36,10.49,22.86,AVG_PERF,,Machinery,1.0
YUM,10.25,3.22,7.04,20.51,AVG_PERF,,Consumer Services,2.0
ZBH,13.99,7.31,4.89,26.19,AVG_PERF,,Healthcare,2.0
ZBRA,3.34,4.81,1.79,9.94,LAG_PERF,,Technology Hardware,0.0
ZTS,5.8,6.6,2.68,15.08,LAG_PERF,,Pharmaceuticals,2.0
