symbol,socialScore,governanceScore,environmentScore,totalEsg,esgPerformance,percentile,peerGroup,highestControversy
EXPD,9.04,4.29,5.07,18.4,LAG_PERF,,Transportation,2.0
EXPE,11.59,7.8,2.73,22.12,AVG_PERF,,Software & Services,2.0
EXR,3.85,6.21,4.1,14.15,LAG_PERF,,Real Estate,1.0
F,7.04,7.98,7.36,22.39,AVG_PERF,,Automobiles,3.0
FANG,9.91,7.41,19.99,37.31,LEAD_PERF,,Oil & Gas Producers,2.0
FAST,8.36,7.17,9.51,25.04,AVG_PERF,,Traders & Distributors,2.0
FCX,6.8,4.22,17.09,28.1,AVG_PERF,,Diversified Metals,4.0
FDS,8.78,3.15,4.57,16.5,LAG_PERF,,Software & Services,1.0
FDX,8.5,4.79,5.73,19.02,LAG_PERF,,Transportation,2.0
FE,10.46,4.46,13.19,28.12,AVG_PERF,,Utilities,3.0
FFIV,7.71,4.26,4.33,16.3,LAG_PERF,,Software & Services,1.0
FI,9.01,4.36,4.09,17.47,LAG_PERF,,Software & Services,2.0
FICO,9.11,6.1,4.88,20.09,AVG_PERF,,Software & Services,2.0
FIS,8.18,2.5,3.68,14.36,LAG_PERF,,Software & Services,1.0
FITB,8.86,7.23,0.78,16.87,LAG_PERF,,Banks,2.0
FMC,8.51,4.74,11.83,25.08,AVG_PERF,,Chemicals,2.0
FOXA,6.72,5.2,0.3,12.22,LAG_PERF,,Media,3.0
FRT,5.68,3.7,3.06,12.44,LAG_PERF,,Real Estate,0.0
FSLR,6.08,5.19,6.04,17.31,LAG_PERF,,Semiconductors,2.0
FTNT,8.54,3.57,3.69,15.8,LAG_PERF,,Software & Services,1.0
FTV,10.66,2.93,14.31,27.9,AVG_PERF,,Industrial Conglomerates,1.0
GD,18.86,5.88,9.34,34.09,LEAD_PERF,,Aerospace & Defense,3.0
GDDY,9.26,5.33,4.4,18.99,LAG_PERF,,Software & Services,2.0
GE,12.9,6.32,13.44,32.65,LEAD_PERF,,Industrial Conglomerates,2.0
GEHC,14.21,4.51,2.74,21.46,AVG_PERF,,Healthcare,2.0
GEN,7.85,3.96,2.97,14.78,LAG_PERF,,Software & Services,2.0
GILD,14.35,6.71,0.63,21.68,AVG_PERF,,Pharmaceuticals,2.0
GIS,13.19,3.19,9.46,25.84,AVG_PERF,,Food Products,2.0
GL,9.72,9.31,1.25,20.28,AVG_PERF,,Insurance,2.0
GLW,4.47,4.64,8.38,17.5,LAG_PERF,,Technology Hardware,2.0
GM,14.07,4.75,8.2,27.02,AVG_PERF,,Automobiles,4.0
GNRC,9.34,5.37,7.22,21.93,AVG_PERF,,Electrical Equipment,2.0
GOOGL,9.95,11.51,1.91,23.37,AVG_PERF,,Software & Services,4.0
GPC,5.33,2.9,4.59,12.83,LAG_PERF,,Retailing,1.0
GPN,10.55,4.74,4.22,19.51,LAG_PERF,,Software & Services,1.0
GRMN,11.65,4.39,4.95,20.99,AVG_PERF,,Consumer Durables,1.0
GS,13.47,11.01,0.75,25.22,AVG_PERF,,Diversified Financials,2.0
GWW,5.61,5.92,4.46,15.99,LAG_PERF,,Traders & Distributors,2.0
HAL,6.79,6.84,10.21,23.84,AVG_PERF,,Energy Services,2.0
HAS,3.38,2.7,1.2,7.28,LAG_PERF,,Consumer Durables,2.0
HBAN,7.68,7.25,1.45,16.38,LAG_PERF,,Banks,2.0
HCA,18.45,4.81,4.5,27.76,AVG_PERF,,Healthcare,3.0
HD,6.53,2.65,3.43,12.61,LAG_PERF,,Retailing,2.0
HES,6.09,6.5,19.37,31.97,LEAD_PERF,,Oil & Gas Producers,2.0
HIG,9.25,6.18,1.35,16.78,LAG_PERF,,Insurance,1.0
HII,16.7,5.96,11.55,34.21,LEAD_PERF,,Aerospace & Defense,1.0
HLT,7.42,3.2,6.81,17.44,LAG_PERF,,Consumer Services,2.0
HOLX,12.27,5.32,4.26,21.85,AVG_PERF,,Healthcare,2.0
HON,9.71,7.16,10.26,27.12,AVG_PERF,,Industrial Conglomerates,3.0
HPE,6.45,4.15,0.87,11.48,LAG_PERF,,Technology Hardware,2.0
HPQ,5.88,4.48,0.23,10.59,LAG_PERF,,Technology Hardware,2.0
HRL,10.12,4.88,11.11,26.11,AVG_PERF,,Food Products,3.0
HSIC,5.95,5.78,2.77,14.5,LAG_PERF,,Healthcare,3.0
HST,4.7,4.95,3.2,12.86,LAG_PERF,,Real Estate,1.0
HSY,10.7,4.09,10.19,24.98,AVG_PERF,,Food Products,3.0
HUBB,6.07,3.17,8.7,17.94,LAG_PERF,,Electrical Equipment,0.0
HUM,14.67,4.19,0.04,18.9,LAG_PERF,,Healthcare,2.0
HWM,12.56,3.37,7.69,23.62,AVG_PERF,,Aerospace & Defense,2.0
IBM,6.68,5.01,1.58,13.27,LAG_PERF,,Software & Services,2.0
ICE,9.07,7.27,1.89,18.24,LAG_PERF,,Diversified Financials,1.0
IDXX,7.69,6.15,2.48,16.32,LAG_PERF,,Healthcare,1.0
IEX,11.75,5.11,13.79,30.65,LEAD_PERF,,Machinery,1.0
IFF,5.93,4.9,12.34,23.17,AVG_PERF,,Chemicals,3.0
INCY,16.77,5.67,1.27,23.71,AVG_PERF,,Pharmaceuticals,1.0
INTC,6.0,4.08,5.49,15.57,LAG_PERF,,Semiconductors,2.0
INTU,8.7,4.2,3.92,16.82,LAG_PERF,,Software & Services,1.0
INVH,4.97,4.59,6.45,16.01,LAG_PERF,,Real Estate,2.0
IP,5.61,2.69,15.13,23.43,AVG_PERF,,Paper & Forestry,3.0
IPG,4.87,3.79,0.03,8.69,LAG_PERF,,Media,0.0
IQV,10.59,4.56,0.91,16.07,LAG_PERF,,Pharmaceuticals,2.0
IR,6.36,2.1,2.15,10.6,LAG_PERF,,Machinery,1.0
IRM,3.45,4.95,5.85,14.25,LAG_PERF,,Real Estate,1.0
ISRG,9.81,5.54,2.68,18.03,LAG_PERF,,Healthcare,1.0
IT,13.2,5.78,0.27,19.25,LAG_PERF,,Commercial Services,1.0
ITW,10.06,5.89,10.31,26.26,AVG_PERF,,Machinery,2.0
IVZ,11.28,9.75,0.17,21.19,AVG_PERF,,Diversified Financials,2.0
J,11.45,4.96,7.47,23.89,AVG_PERF,,Construction & Engineering,2.0
JBHT,6.92,4.86,2.56,14.34,LAG_PERF,,Transportation,1.0
JBL,3.18,3.47,2.8,9.45,LAG_PERF,,Technology Hardware,1.0
JCI,5.07,3.52,7.47,16.06,LAG_PERF,,Building Products,3.0
JKHY,8.73,5.46,4.47,18.66,LAG_PERF,,Software & Services,0.0
JNJ,13.03,6.13,0.94,20.1,AVG_PERF,,Pharmaceuticals,4.0
JNPR,6.84,3.64,2.37,12.85,LAG_PERF,,Technology Hardware,1.0
